behavior,outcome,treatment_definition,threshold,ate_risk_difference,se,ci_low,ci_high,n,treated_rate,assumption,significant_95ci,negative_effect_stability,positive_effect_stability,significance_frequency,n_boot,stable_edge
days_since_last_activity,dropout,lower_or_equal_median,10.0,-0.3989308437374306,0.004627901086358938,-0.40800152986669413,-0.38986015760816706,32593,0.5003221550639708,temporal precedence + observed-confounder exchangeability; not proof under hidden confounding,True,1.0,0.0,1.0,50,True
mean_score,dropout,above_median,73.0,-0.36521519552679627,0.004756766524132293,-0.37453845791409557,-0.35589193313949696,32593,0.495474488387077,temporal precedence + observed-confounder exchangeability; not proof under hidden confounding,True,1.0,0.0,1.0,50,True
n_vle_events,dropout,above_median,110.0,-0.35321302283740763,0.005016451476623495,-0.3630452677315897,-0.3433807779432256,32593,0.4984812689841377,temporal precedence + observed-confounder exchangeability; not proof under hidden confounding,True,1.0,0.0,1.0,50,True
active_days,dropout,above_median,21.0,-0.35146013928241787,0.004854864307677555,-0.3609756733254659,-0.34194460523936987,32593,0.4936642837419078,temporal precedence + observed-confounder exchangeability; not proof under hidden confounding,True,1.0,0.0,1.0,50,True
sum_click,dropout,above_median,321.0,-0.34869460255588713,0.0050704750946177655,-0.358632733741338,-0.3387564713704363,32593,0.49973920780535697,temporal precedence + observed-confounder exchangeability; not proof under hidden confounding,True,1.0,0.0,1.0,50,True
n_submissions,dropout,above_median,2.0,-0.34617452420849154,0.004468721808302355,-0.35493321895276414,-0.33741582946421894,32593,0.36780903875065196,temporal precedence + observed-confounder exchangeability; not proof under hidden confounding,True,1.0,0.0,1.0,50,True
n_activities,dropout,above_median,29.0,-0.34604172062224003,0.005153166719530954,-0.3561419273925207,-0.33594151385195936,32593,0.49004387445156933,temporal precedence + observed-confounder exchangeability; not proof under hidden confounding,True,1.0,0.0,1.0,50,True
clicks_per_active_day,dropout,above_median,14.916666666666666,-0.2187111129478983,0.005499974265794546,-0.22949106250885562,-0.20793116338694098,32593,0.49998465928266805,temporal precedence + observed-confounder exchangeability; not proof under hidden confounding,True,1.0,0.0,1.0,50,True
late_rate,dropout,lower_or_equal_median,0.0,0.2182793544615964,0.007111003265293455,0.20434178806162123,0.23221692086157159,32593,0.6528088853434787,temporal precedence + observed-confounder exchangeability; not proof under hidden confounding,True,0.0,1.0,1.0,50,True
mean_score,failure,above_median,73.0,-0.13032479718019088,0.004597925870375482,-0.13933673188612683,-0.12131286247425493,32593,0.495474488387077,temporal precedence + observed-confounder exchangeability; not proof under hidden confounding,True,1.0,0.0,1.0,50,True
active_days,failure,above_median,21.0,-0.10616394099437552,0.00487995027639524,-0.11572864353611019,-0.09659923845264086,32593,0.4936642837419078,temporal precedence + observed-confounder exchangeability; not proof under hidden confounding,True,1.0,0.0,1.0,50,True
n_vle_events,failure,above_median,110.0,-0.09994390545621008,0.0051457614682265855,-0.11002959793393419,-0.08985821297848598,32593,0.4984812689841377,temporal precedence + observed-confounder exchangeability; not proof under hidden confounding,True,1.0,0.0,1.0,50,True
sum_click,failure,above_median,321.0,-0.09463031528005739,0.005241953032257349,-0.1049045432232818,-0.08435608733683297,32593,0.49973920780535697,temporal precedence + observed-confounder exchangeability; not proof under hidden confounding,True,1.0,0.0,1.0,50,True
late_rate,failure,lower_or_equal_median,0.0,-0.08966248538330283,0.007546831896457379,-0.1044542759003593,-0.07487069486624637,32593,0.6528088853434787,temporal precedence + observed-confounder exchangeability; not proof under hidden confounding,True,1.0,0.0,1.0,50,True
days_since_last_activity,failure,lower_or_equal_median,10.0,-0.0818368686315823,0.0046269453260798735,-0.09090568147069884,-0.07276805579246574,32593,0.5003221550639708,temporal precedence + observed-confounder exchangeability; not proof under hidden confounding,True,1.0,0.0,1.0,50,True
n_activities,failure,above_median,29.0,-0.06483503758902623,0.005262609502724428,-0.07514975221436611,-0.05452032296368635,32593,0.49004387445156933,temporal precedence + observed-confounder exchangeability; not proof under hidden confounding,True,1.0,0.0,1.0,50,True
n_submissions,failure,above_median,2.0,-0.047370965456193806,0.004410577886774817,-0.05601569811427245,-0.038726232798115164,32593,0.36780903875065196,temporal precedence + observed-confounder exchangeability; not proof under hidden confounding,True,1.0,0.0,1.0,50,True
clicks_per_active_day,failure,above_median,14.916666666666666,-0.013146522261765395,0.005164257454297337,-0.023268466872188177,-0.003024577651342614,32593,0.49998465928266805,temporal precedence + observed-confounder exchangeability; not proof under hidden confounding,True,0.9,0.1,0.22,50,True
