train_dataset,test_dataset,transformer_auroc,proposed_causal_auroc,proposed_causal_ece
STEM,Social,0.6526,0.6545,0.3345
Social,STEM,0.6822,0.6566,0.2402
BBB,FFF,0.7164,0.6836,0.2124
FFF,BBB,0.6472,0.6268,0.3924
BBB,DDD,0.6878,0.6511,0.263
DDD,BBB,0.6588,0.6612,0.316
BBB,CCC,0.6202,0.6576,0.2272
CCC,BBB,0.6296,0.6274,0.339
BBB,GGG,0.615,0.6639,0.3514
GGG,BBB,0.5764,0.6458,0.2075
BBB,EEE,0.6558,0.7304,0.2165
EEE,BBB,0.6154,0.6138,0.353
FFF,DDD,0.716,0.6903,0.3034
DDD,FFF,0.6696,0.6787,0.2649
FFF,CCC,0.6846,0.6634,0.2846
CCC,FFF,0.5864,0.5755,0.3823
FFF,GGG,0.543,0.5736,0.4902
GGG,FFF,0.5754,0.6306,0.1269
FFF,EEE,0.7714,0.7922,0.2389
EEE,FFF,0.7179,0.7403,0.1422
DDD,CCC,0.6892,0.6659,0.2066
CCC,DDD,0.6351,0.6061,0.347
DDD,GGG,0.5275,0.577,0.478
GGG,DDD,0.5967,0.6289,0.1006
DDD,EEE,0.6954,0.7534,0.2685
EEE,DDD,0.6617,0.7088,0.247
CCC,GGG,0.5011,0.5516,0.5202
GGG,CCC,0.5683,0.6076,0.2116
CCC,EEE,0.5612,0.5842,0.405
EEE,CCC,0.6152,0.6594,0.2948
GGG,EEE,0.6232,0.6458,0.1384
EEE,GGG,0.5862,0.5769,0.5381
