week,threshold,alerts_sent,true_at_risk_reached,false_alerts,advisor_hours
2,0.3,1898,914,984,322.66
2,0.4,1011,592,419,171.87
2,0.5,614,417,197,104.38
2,0.6,358,280,78,60.86
2,0.7,263,219,44,44.71
4,0.3,1758,989,769,298.86
4,0.4,1382,843,539,234.94
4,0.5,940,650,290,159.8
4,0.6,663,496,167,112.71
4,0.7,388,322,66,65.96
6,0.3,1765,977,788,300.05
6,0.4,1383,852,531,235.11
6,0.5,1067,708,359,181.39
6,0.6,696,514,182,118.32
6,0.7,468,369,99,79.56
8,0.3,1688,1013,675,286.96
8,0.4,1384,915,469,235.28
8,0.5,1135,809,326,192.95
8,0.6,786,606,180,133.62
8,0.7,540,449,91,91.8
10,0.3,1694,997,697,287.98
10,0.4,1349,886,463,229.33
10,0.5,1143,798,345,194.31
10,0.6,823,628,195,139.91
10,0.7,545,458,87,92.65
12,0.3,1684,1015,669,286.28
12,0.4,1350,894,456,229.5
12,0.5,1127,798,329,191.59
12,0.6,852,645,207,144.84
12,0.7,552,457,95,93.84
