student_id,dropout_risk,failure_risk,risk_segment
496315,0.38288137,0.46488202,Low-Low
688442,0.92989254,0.08393761,High dropout / Low failure
596307,0.17475148,0.32617834,Low-Low
587923,0.09272953,0.09823174,Low-Low
503477,0.107078075,0.09467688,Low-Low
572053,0.06880708,0.050684746,Low-Low
575792,0.16099286,0.34355393,Low-Low
2563715,0.16809088,0.3269289,Low-Low
539328,0.09208715,0.1360645,Low-Low
626642,0.07864283,0.21978886,Low-Low
652435,0.09405673,0.28792408,Low-Low
284095,0.114183165,0.1773474,Low-Low
579259,0.7406646,0.21654285,High dropout / Low failure
2581536,0.08284811,0.07142711,Low-Low
638388,0.09425467,0.11275509,Low-Low
547897,0.8595767,0.14403476,High dropout / Low failure
513836,0.13705748,0.18044688,Low-Low
534908,0.74795616,0.2135999,High dropout / Low failure
553284,0.066425,0.04826995,Low-Low
438244,0.14072427,0.31733692,Low-Low
1095916,0.0880571,0.15284169,Low-Low
553262,0.058291607,0.040880784,Low-Low
235768,0.07964497,0.07028219,Low-Low
2637912,0.17274971,0.25037518,Low-Low
582039,0.17637338,0.3238338,Low-Low
522482,0.19331934,0.274575,Low-Low
110640,0.093598664,0.086968325,Low-Low
674359,0.08930856,0.1814801,Low-Low
2179304,0.06917906,0.04825901,Low-Low
299281,0.1534565,0.18224329,Low-Low
522739,0.6106605,0.4231953,High dropout / Low failure
610870,0.4755375,0.45501,Low-Low
615321,0.638521,0.48031923,High dropout / Low failure
574849,0.24788737,0.40034828,Low-Low
554818,0.25284505,0.3579292,Low-Low
636732,0.16100098,0.18471926,Low-Low
644409,0.22854689,0.30297676,Low-Low
690783,0.5396007,0.4556314,High dropout / Low failure
648366,0.06977813,0.051190287,Low-Low
1759799,0.06353539,0.04573021,Low-Low
556177,0.11988055,0.1367898,Low-Low
653541,0.20897707,0.271463,Low-Low
387550,0.1234626,0.35985795,Low-Low
578492,0.18788004,0.23269866,Low-Low
414495,0.12139729,0.13803361,Low-Low
649212,0.2256367,0.29046544,Low-Low
634489,0.16387063,0.24459387,Low-Low
2131908,0.17870778,0.19842727,Low-Low
633717,0.10077269,0.10045524,Low-Low
632242,0.17297545,0.3733231,Low-Low
606239,0.248492,0.3802189,Low-Low
577304,0.22366656,0.49916366,Low-Low
586921,0.80831957,0.5520299,High-High
641804,0.1315863,0.17148948,Low-Low
689017,0.11399176,0.12259892,Low-Low
475839,0.2856396,0.3924492,Low-Low
564617,0.069853336,0.050104838,Low-Low
679760,0.19803905,0.36639833,Low-Low
204725,0.17334247,0.18849654,Low-Low
594636,0.90840334,0.4359862,High dropout / Low failure
685339,0.090604804,0.076689355,Low-Low
268915,0.40411142,0.25735146,Low-Low
498006,0.121851996,0.20172791,Low-Low
234929,0.28421894,0.5516684,Low dropout / High failure
2195971,0.14124337,0.21592392,Low-Low
649325,0.11217392,0.102215625,Low-Low
545462,0.08695894,0.07729219,Low-Low
613832,0.37081337,0.49177548,Low-Low
556646,0.07312149,0.056302182,Low-Low
421712,0.3024654,0.41884127,Low-Low
557020,0.13990802,0.1627225,Low-Low
628296,0.72057533,0.24343431,High dropout / Low failure
488575,0.8616794,0.528063,High-High
550545,0.7669753,0.5526326,High-High
1336190,0.6007687,0.3003696,High dropout / Low failure
1967783,0.14734833,0.192038,Low-Low
677741,0.09680141,0.13844149,Low-Low
581836,0.10936377,0.06801151,Low-Low
647598,0.616624,0.32540965,High dropout / Low failure
574608,0.08907956,0.086846866,Low-Low
530360,0.09160148,0.075314574,Low-Low
514556,0.1499815,0.11890518,Low-Low
653188,0.10521627,0.114345334,Low-Low
585290,0.5875009,0.335998,High dropout / Low failure
309350,0.3225345,0.15220256,Low-Low
279238,0.5674539,0.36638898,High dropout / Low failure
655954,0.15260853,0.18865703,Low-Low
2101566,0.73133427,0.33486897,High dropout / Low failure
529871,0.14089625,0.1272948,Low-Low
581769,0.07589484,0.058716174,Low-Low
627251,0.11467618,0.35424823,Low-Low
697841,0.75492984,0.21297504,High dropout / Low failure
563769,0.2423164,0.41925398,Low-Low
600428,0.12686765,0.30381528,Low-Low
698548,0.07275109,0.1379511,Low-Low
124711,0.5950631,0.43924874,High dropout / Low failure
489889,0.28103167,0.30357268,Low-Low
624997,0.079889335,0.21264468,Low-Low
378543,0.09672425,0.12801759,Low-Low
693519,0.24453396,0.3492477,Low-Low
585709,0.23532596,0.17432493,Low-Low
426624,0.10802586,0.1521655,Low-Low
485766,0.10643704,0.21258256,Low-Low
518189,0.09911558,0.14186296,Low-Low
597098,0.7632227,0.19602793,High dropout / Low failure
193834,0.3050948,0.44503883,Low-Low
602030,0.8762377,0.55450815,High-High
1667087,0.14333877,0.13889882,Low-Low
600842,0.63913417,0.30750406,High dropout / Low failure
2290090,0.09139119,0.16665825,Low-Low
550898,0.19794084,0.41428417,Low-Low
53626,0.5751669,0.35264283,High dropout / Low failure
590667,0.16782261,0.22983238,Low-Low
