row_index,student_course_id,true_any_risk,risk_probability,student_level_recourse_reduction,student_level_recourse_valid,student_level_recourse_effort,risk_decile,expected_recourse_reduction,empirical_actionability,expected_intervention_benefit,expected_intervention_benefit_norm,causal_actionable_score
0,28400_AAA_2013J,0,0.15730762148419458,0.22632111461237533,0.76,0.9999999750000007,2,0.22632111461237533,0.38000000474999995,0.013528773937013003,0.06962415678634963,0.11346588913527211
1,30268_AAA_2013J,1,0.9960222396038616,0.20074188936748838,1.0,0.9999999750000007,8,0.20074188936748838,0.50000000625,0.09997169436470435,0.5144919232926429,0.7552570814482522
2,38053_AAA_2013J,0,0.15089671128476825,0.22632111461237533,0.76,0.9999999750000007,2,0.22632111461237533,0.38000000474999995,0.012977422680155788,0.06678669593952782,0.10884170361214804
3,45462_AAA_2013J,0,0.21101930905217836,0.22632111461237533,0.76,0.9999999750000007,2,0.22632111461237533,0.38000000474999995,0.01814808781403157,0.09339688261621966,0.152208095834199
4,52130_AAA_2013J,0,0.10722628876150608,0.22632111461237533,0.76,0.9999999750000007,1,0.22632111461237533,0.38000000474999995,0.009221677926806912,0.047458221476570965,0.07734225511903853
5,57506_AAA_2013J,0,0.09683637534596032,0.22632111461237533,0.76,0.9999999750000007,1,0.22632111461237533,0.38000000474999995,0.008328124337363184,0.04285965877620467,0.0698480170610825
6,59185_AAA_2013J,0,0.1230009503339206,0.22632111461237533,0.76,0.9999999750000007,1,0.22632111461237533,0.38000000474999995,0.010578330759851777,0.05444006698543427,0.08872050865967743
7,63400_AAA_2013J,0,0.2154543738019194,0.22632111461237533,0.76,0.9999999750000007,2,0.22632111461237533,0.38000000474999995,0.018529512361864366,0.09535983673490872,0.15540710526841406
8,75091_AAA_2013J,0,0.12911051863835565,0.22632111461237533,0.76,0.9999999750000007,1,0.22632111461237533,0.38000000474999995,0.011103766003634587,0.05714415428591918,0.09312733646213742
9,101781_AAA_2013J,0,0.08227526122284105,0.22632111461237533,0.76,0.9999999750000007,0,0.22632111461237533,0.38000000474999995,0.007075839041939523,0.036414927852637516,0.059345094537739285
10,102806_AAA_2013J,0,0.05931872279491603,0.22632111461237533,0.76,0.9999999750000007,0,0.22632111461237533,0.38000000474999995,0.005101530258693734,0.026254392617933057,0.04278655770642455
11,137873_AAA_2013J,0,0.06183372735783286,0.22632111461237533,0.76,0.9999999750000007,0,0.22632111461237533,0.38000000474999995,0.005317825743052554,0.027367530496154036,0.044600628926993444
12,142326_AAA_2013J,0,0.13808250168809005,0.22632111461237533,0.76,0.9999999750000007,1,0.22632111461237533,0.38000000474999995,0.0118753747108374,0.06111514277742047,0.09959882223275526
13,148993_AAA_2013J,1,0.1499146584910693,0.22632111461237533,0.76,0.9999999750000007,2,0.22632111461237533,0.38000000474999995,0.012892964151606361,0.06635204059965391,0.1081333495453616
14,175932_AAA_2013J,0,0.08832081248878586,0.22632111461237533,0.76,0.9999999750000007,0,0.22632111461237533,0.38000000474999995,0.0075957686908015,0.039090681291846105,0.06370574689031598
15,180753_AAA_2013J,0,0.10722655534136918,0.22632111461237533,0.76,0.9999999750000007,1,0.22632111461237533,0.38000000474999995,0.009221700853214863,0.047458339464485404,0.0773424474029273
16,181316_AAA_2013J,1,0.8417790278962541,0.3122194246534514,1.0,0.9999999784172667,6,0.3122194246534514,0.5000000053956835,0.13140988330564732,0.6762846626860229,0.7590318452911385
17,187100_AAA_2013J,0,0.03826673458707436,0.22632111461237533,0.76,0.9999999750000007,0,0.22632111461237533,0.38000000474999995,0.003291016650380296,0.016936808931789653,0.027601771759432008
18,188278_AAA_2013J,1,0.9137296010920017,0.3122194246534514,1.0,0.9999999784172667,6,0.3122194246534514,0.5000000053956835,0.14264206671018909,0.7340897011951899,0.8239096511435958
19,195262_AAA_2013J,1,0.9378713281774059,0.19404054985754032,1.0,0.9999999740571186,7,0.19404054985754032,0.5000000064857204,0.09099253528788702,0.4682817949924333,0.7030765615849196
20,202635_AAA_2013J,1,0.22852340318656003,0.22632111461237533,0.76,0.9999999750000007,3,0.22632111461237533,0.38000000474999995,0.01965347534886273,0.10114417281688969,0.16483378800172485
21,205350_AAA_2013J,0,0.09023963782971646,0.22632111461237533,0.76,0.9999999750000007,0,0.22632111461237533,0.38000000474999995,0.007760791555028523,0.03993995099106405,0.06508979441039026
22,238007_AAA_2013J,0,0.07254604258198595,0.22632111461237533,0.76,0.9999999750000007,0,0.22632111461237533,0.38000000474999995,0.006239106540780154,0.032108787834319134,0.05232741520815254
23,240884_AAA_2013J,0,0.12203056391053507,0.22632111461237533,0.76,0.9999999750000007,1,0.22632111461237533,0.38000000474999995,0.010494875562769361,0.05401057516648938,0.08802056953851223
24,246834_AAA_2013J,0,0.28827804028181053,0.22632111461237533,0.76,0.9999999750000007,3,0.22632111461237533,0.38000000474999995,0.02479249511994941,0.12759150055967905,0.2079347704207448
25,248270_AAA_2013J,0,0.12113255761576011,0.22632111461237533,0.76,0.9999999750000007,1,0.22632111461237533,0.38000000474999995,0.010417645203290271,0.05361311870206231,0.08737283815891121
26,268733_AAA_2013J,1,0.9899561261906115,0.19404054985754032,1.0,0.9999999740571186,7,0.19404054985754032,0.5000000064857204,0.09604581677628603,0.49428788129943313,0.7421220037450222
27,286488_AAA_2013J,0,0.10233781722758349,0.22632111461237533,0.76,0.9999999750000007,1,0.22632111461237533,0.38000000474999995,0.008801259477554552,0.04529459008152357,0.07381620365455353
28,293699_AAA_2013J,0,0.857055426083601,0.3122194246534514,1.0,0.9999999784172667,6,0.3122194246534514,0.5000000053956835,0.13379467745779772,0.6885577099499902,0.7728065680167956
29,296332_AAA_2013J,0,0.0419793032832418,0.22632111461237533,0.76,0.9999999750000007,0,0.22632111461237533,0.38000000474999995,0.00361030507482022,0.01857998719958914,0.030279645241415472
30,298696_AAA_2013J,0,0.13409015090098714,0.22632111461237533,0.76,0.9999999750000007,1,0.22632111461237533,0.38000000474999995,0.011532024460122447,0.059348133305630275,0.0967191421033087
