policy,capacity_absolute,capacity_pct_of_test,students_contacted,n_test_at_risk,true_at_risk_reached,false_alerts,precision,recall,estimated_advisor_hours,net_utility,expected_total_intervention_benefit,expected_mean_intervention_benefit
Probability-only ranking,25,0.0030678610872499693,25,4302,25,0,1.0,0.005811250581125058,4.25,1.0,2.1601713258194457,0.08640685303277783
Causal-actionable ranking,25,0.0030678610872499693,25,4302,23,2,0.92,0.005346350534635054,4.25,0.88,3.954772915175003,0.15819091660700013
Probability-only ranking,50,0.0061357221744999385,50,4302,50,0,1.0,0.011622501162250116,8.5,1.0,4.523401297210502,0.09046802594421005
Causal-actionable ranking,50,0.0061357221744999385,50,4302,47,3,0.94,0.01092515109251511,8.5,0.91,7.463404946461221,0.14926809892922444
Probability-only ranking,81,0.0099398699226899,81,4302,81,0,1.0,0.01882845188284519,13.770000000000001,1.0,7.711051881504349,0.0951981713765969
Causal-actionable ranking,81,0.0099398699226899,81,4302,77,4,0.9506172839506173,0.01789865178986518,13.770000000000001,0.9259259259259259,11.83688123546925,0.1461343362403611
Probability-only ranking,100,0.012271444348999877,100,4302,100,0,1.0,0.023245002324500233,17.0,1.0,9.356197822358089,0.0935619782235809
Causal-actionable ranking,100,0.012271444348999877,100,4302,96,4,0.96,0.022315202231520222,17.0,0.94,14.502916141196955,0.14502916141196956
Probability-only ranking,162,0.0198797398453798,162,4302,162,0,1.0,0.03765690376569038,27.540000000000003,1.0,15.562681812864144,0.09606593711644533
Causal-actionable ranking,162,0.0198797398453798,162,4302,154,8,0.9506172839506173,0.03579730357973036,27.540000000000003,0.9259259259259259,23.039511568574888,0.14221920721342524
Probability-only ranking,200,0.024542888697999754,200,4302,200,0,1.0,0.046490004649000466,34.0,1.0,19.366625570369706,0.09683312785184853
Causal-actionable ranking,200,0.024542888697999754,200,4302,191,9,0.955,0.044397954439795446,34.0,0.9325,28.066141465498905,0.14033070732749453
Probability-only ranking,407,0.0499447785004295,407,4302,407,0,1.0,0.09460715946071595,69.19000000000001,1.0,39.28189291113945,0.09651570739837703
Causal-actionable ranking,407,0.0499447785004295,407,4302,385,22,0.9459459459459459,0.0894932589493259,69.19000000000001,0.918918918918919,52.99782613104264,0.1302157890197608
Probability-only ranking,500,0.061357221744999385,500,4302,500,0,1.0,0.11622501162250116,85.0,1.0,48.423509433486466,0.09684701886697293
Causal-actionable ranking,500,0.061357221744999385,500,4302,478,22,0.956,0.1111111111111111,85.0,0.934,62.589041663359176,0.12517808332671834
Probability-only ranking,814,0.099889557000859,814,4302,814,0,1.0,0.1892143189214319,138.38000000000002,1.0,80.30953698902186,0.09866036485137822
Causal-actionable ranking,814,0.099889557000859,814,4302,792,22,0.972972972972973,0.18410041841004185,138.38000000000002,0.9594594594594594,94.89460961713075,0.11657814449278962
Probability-only ranking,1629,0.199901828445208,1629,4302,1629,0,1.0,0.3786610878661088,276.93,1.0,160.35724573956531,0.09843907043558338
Causal-actionable ranking,1629,0.199901828445208,1629,4302,1605,24,0.9852670349907919,0.37308228730822873,276.93,0.9779005524861878,178.00007427928466,0.10926953608304768
Probability-only ranking,2444,0.299914099889557,2444,4302,2430,14,0.9942716857610474,0.5648535564853556,415.48,0.9914075286415712,237.35748095541356,0.09711844556277151
Causal-actionable ranking,2444,0.299914099889557,2444,4302,2398,46,0.9811783960720131,0.5574151557415156,415.48,0.9717675941080196,259.925511552286,0.10635250063514158
Probability-only ranking,4074,0.499938642778255,4074,4302,3507,567,0.8608247422680413,0.8152022315202232,692.58,0.7912371134020618,426.8072291479509,0.10476367922139197
Causal-actionable ranking,4074,0.499938642778255,4074,4302,3507,567,0.8608247422680413,0.8152022315202232,692.58,0.7912371134020618,426.8072291479509,0.10476367922139197
Probability-only ranking,8149,1.0,8149,4302,4302,3847,0.5279175358939747,1.0,1385.3300000000002,0.2918763038409621,497.86114799564035,0.061094753711576924
Causal-actionable ranking,8149,1.0,8149,4302,4302,3847,0.5279175358939747,1.0,1385.3300000000002,0.2918763038409621,497.86114799564035,0.061094753711576924
