capacity_absolute,metric,mean_difference_actionable_minus_probability,ci_low,ci_high,p_actionable_better,n_boot
25,precision,-0.0784,-0.19999999999999996,0.0,0.0,200
25,recall,-0.00048698279869828,-0.0011622501162250115,0.0,0.0,200
25,net_utility,-0.12990000000000004,-0.30000000000000004,0.0,0.0,200
25,expected_total_intervention_benefit,1.8001497332885783,1.4681132755720923,2.2285568432152028,1.0,200
50,precision,-0.055800000000000016,-0.12,0.0,0.0,200
50,recall,-0.0007391910739191074,-0.0016271501627150159,-0.0002266387726638754,0.0,200
50,net_utility,-0.08850000000000001,-0.20999999999999996,0.0,0.0,200
50,expected_total_intervention_benefit,2.9067993957415665,2.5030634688409394,3.421688690519858,1.0,200
81,precision,-0.04796296296296299,-0.09876543209876543,-0.012345679012345734,0.0,200
81,recall,-0.0009030683403068346,-0.0018596001859600177,-0.00023245002324500177,0.0,200
81,net_utility,-0.07435185185185186,-0.1300925925925926,-0.01851851851851849,0.0,200
81,expected_total_intervention_benefit,4.141088695230448,3.6315490938976906,4.687039652236385,1.0,200
100,precision,-0.040450000000000014,-0.08024999999999996,-0.010000000000000009,0.0,200
100,recall,-0.0009181775918177597,-0.0018596001859600177,-0.00023245002324500177,0.0,200
100,net_utility,-0.06195000000000001,-0.135,-0.015000000000000013,0.0,200
100,expected_total_intervention_benefit,5.145464099842375,4.63241780937768,5.741976623426663,1.0,200
162,precision,-0.04787037037037038,-0.08040123456790126,-0.01851851851851849,0.0,200
162,recall,-0.0018317061831706193,-0.0032601115760111567,-0.0006973500697350088,0.0,200
162,net_utility,-0.07490740740740741,-0.12060185185185182,-0.03680555555555556,0.0,200
162,expected_total_intervention_benefit,7.459220424374068,6.7930695624008015,8.174378052253985,1.0,200
200,precision,-0.044950000000000025,-0.07512499999999996,-0.020000000000000018,0.0,200
200,recall,-0.002100185960018597,-0.003492561599256162,-0.0009298000929800071,0.0,200
200,net_utility,-0.06783750000000001,-0.10518749999999998,-0.030000000000000027,0.0,200
200,expected_total_intervention_benefit,8.760979624439047,8.10486213699304,9.425575739955308,1.0,200
407,precision,-0.05382063882063883,-0.07616707616707619,-0.03433660933660927,0.0,200
407,recall,-0.005288238028823804,-0.007438400743840071,-0.0032543003254300318,0.0,200
407,net_utility,-0.08062039312039312,-0.11425061425061422,-0.04422604422604426,0.0,200
407,expected_total_intervention_benefit,13.68356174491179,12.394092223352182,15.060693980425128,1.0,200
500,precision,-0.044010000000000035,-0.06205000000000005,-0.027950000000000013,0.0,200
500,recall,-0.005173175267317529,-0.007205950720595072,-0.0034809390980939173,0.0,200
500,net_utility,-0.06446999999999999,-0.09299999999999997,-0.04200000000000004,0.0,200
500,expected_total_intervention_benefit,14.202312821687446,12.818105846315632,15.687922951191767,1.0,200
814,precision,-0.027002457002457,-0.036885749385749414,-0.01597051597051602,0.0,200
814,recall,-0.005246397024639706,-0.007670850767085069,-0.003707577870757776,0.0,200
814,net_utility,-0.04139742014742018,-0.057171375921375965,-0.025798525798525818,0.0,200
814,expected_total_intervention_benefit,14.499840729098523,12.950676690394987,16.215260628662424,1.0,200
1629,precision,-0.014561080417433972,-0.020871700429711426,-0.008594229588704705,0.0,200
1629,recall,-0.005466062296606246,-0.007444211994421236,-0.0032543003254300595,0.0,200
1629,net_utility,-0.021606813996316757,-0.03038674033149169,-0.013812154696132617,0.0,200
1629,expected_total_intervention_benefit,17.71710225422655,15.738146585845547,19.714973961764585,1.0,200
2444,precision,-0.013238543371522091,-0.019230769230769166,-0.0077639116202946395,0.0,200
2444,recall,-0.007659228265922822,-0.010698512319851241,-0.004410739191073885,0.0,200
2444,net_utility,-0.02023220130932897,-0.028846153846153855,-0.01103211947626839,0.0,200
2444,expected_total_intervention_benefit,22.545014016471,20.510850828922205,24.61277929991073,1.0,200
4074,precision,-0.00037800687285223955,-0.014727540500736436,0.014506627393225396,0.455,200
4074,recall,0.00015457926545792256,-0.012325662482566325,0.013034635053463507,0.495,200
4074,net_utility,-0.00015095729013254566,-0.020986745213549374,0.025414212076583235,0.465,200
4074,expected_total_intervention_benefit,-0.23304942472343726,-3.450637196644598,2.8352668461171864,0.46,200
8149,precision,0.0005086513682660415,-0.014514050803779655,0.015115351576880614,0.525,200
8149,recall,0.0008682008368200816,-0.025569502556950126,0.030299860529986133,0.52,200
8149,net_utility,-0.001175297582525462,-0.021384525708675897,0.02203798012026019,0.43,200
8149,expected_total_intervention_benefit,0.37329538425395414,-10.873702997700033,12.377570990723145,0.53,200
