policy,target_recall,actual_recall,precision_at_recall,k_students_contacted,capacity_pct,expected_total_intervention_benefit
Probability-only ranking,0.1,0.100185960018596,1.0,431,0.05288992514418947,41.676713419252906
Probability-only ranking,0.2,0.200139470013947,1.0,861,0.10565713584488895,85.08463140414227
Probability-only ranking,0.3,0.300092980009298,1.0,1291,0.15842434654558843,127.36013663712983
Probability-only ranking,0.5,0.5,0.9990710636321412,2153,0.26420419683396734,210.04688219703223
Probability-only ranking,0.7,0.700139470013947,0.9580152671755725,3144,0.38581421033255614,325.46390027420574
Causal-actionable ranking,0.1,0.100185960018596,0.9514348785871964,453,0.055589642900969446,57.75685460408144
Causal-actionable ranking,0.2,0.200139470013947,0.9750849377123443,883,0.10835685360166891,101.98549441839799
Causal-actionable ranking,0.3,0.300092980009298,0.982496194824962,1314,0.16124677874585838,146.36992178434122
Causal-actionable ranking,0.5,0.5,0.9835390946502057,2187,0.2683764879126273,234.4938547127245
Causal-actionable ranking,0.7,0.700139470013947,0.9459798994974874,3184,0.3907227880721561,340.2896893224148
