attribute,group,n,alerts,true_alerts,observed_risk_rate,alert_rate_operating_threshold,alert_precision,alert_precision_ci_low,alert_precision_ci_high,mean_predicted_risk,mean_expected_intervention_benefit,precision_gap_vs_global_operating_threshold,flag
gender,F,3660,1072,1051,0.5210382513661203,0.292896174863388,0.980410447761194,0.9702379043649386,0.9871521054655047,0.5275828008331495,0.05993357430893194,-0.000775646308335598,within monitoring tolerance
gender,M,4489,1373,1348,0.5335263978614391,0.3058587658721319,0.9817916970138383,0.9732581275313925,0.987636720503414,0.5370723273669729,0.062041493879471936,0.0006056029443086697,within monitoring tolerance
age_band,0-35,5752,1861,1827,0.5566759388038943,0.3235396383866481,0.9817302525523912,0.9745788929813887,0.9868968698930561,0.5584582988506128,0.06457507627308143,0.0005441584828616008,within monitoring tolerance
age_band,35-55,2334,572,560,0.461439588688946,0.24507283633247642,0.9790209790209791,0.9636913303688164,0.9879592624330931,0.4739126391088811,0.05307103170243547,-0.0021651150485505477,within monitoring tolerance
age_band,55<=,63,12,12,0.36507936507936506,0.19047619047619047,1.0,0.7574992425007574,1.0,0.37311895128276384,0.040595575863359115,0.018813905930470387,within monitoring tolerance
disability,N,7343,2155,2115,0.5169549230559717,0.2934767806073812,0.9814385150812065,0.974824159030626,0.9863394576052588,0.5228090865464688,0.059845880630488305,0.00025242101167688435,within monitoring tolerance
disability,Y,806,290,284,0.6277915632754343,0.3598014888337469,0.9793103448275862,0.9556037527796775,0.9904842075363567,0.6239250695892644,0.07247251430020435,-0.0018757492419434474,within monitoring tolerance
region,East Anglian Region,852,266,260,0.5258215962441315,0.31220657276995306,0.9774436090225563,0.9516706671057668,0.9896222988416631,0.5346538792571595,0.061214517608376734,-0.0037424850469732762,within monitoring tolerance
region,East Midlands Region,608,183,180,0.5230263157894737,0.30098684210526316,0.9836065573770492,0.9529170509233138,0.9944094545230109,0.5266530938154738,0.058604069353982914,0.002420463307519549,within monitoring tolerance
region,Ireland,290,64,62,0.4827586206896552,0.2206896551724138,0.96875,0.8930250611770575,0.9913880422874833,0.49122305960005425,0.06116597612558515,-0.012436094069529613,within monitoring tolerance
region,London Region,802,275,270,0.5748129675810474,0.3428927680798005,0.9818181818181818,0.9581507984531965,0.9922095495006238,0.5844353912472157,0.06745795231500486,0.0006320877486521992,within monitoring tolerance
region,North Region,444,126,124,0.4797297297297297,0.28378378378378377,0.9841269841269841,0.9439701231255323,0.9956362896112178,0.502330171579958,0.056264051902875485,0.0029408900574544594,within monitoring tolerance
region,North Western Region,694,259,253,0.6066282420749279,0.37319884726224783,0.9768339768339769,0.9503887808788517,0.9893406987773367,0.5992423031071079,0.06836436818692028,-0.004352117235552733,within monitoring tolerance
region,Scotland,884,225,221,0.497737556561086,0.25452488687782804,0.9822222222222222,0.9551886530052135,0.9930655105734364,0.495065099982934,0.05740014117595612,0.0010361281526926058,within monitoring tolerance
region,South East Region,521,140,138,0.4779270633397313,0.2687140115163148,0.9857142857142858,0.9494108358295452,0.996073641540006,0.5074159989302751,0.05780445216556736,0.004528191644756152,within monitoring tolerance
region,South Region,782,208,205,0.4833759590792839,0.2659846547314578,0.9855769230769231,0.9584596153049922,0.9950830316538677,0.4810874257443228,0.05447322601641145,0.004390829007393515,within monitoring tolerance
region,South West Region,609,177,174,0.5024630541871922,0.29064039408866993,0.9830508474576272,0.9513594917468587,0.9942194016051135,0.5115815190496877,0.057946789212711056,0.0018647533880975509,within monitoring tolerance
region,Wales,474,130,127,0.5316455696202531,0.2742616033755274,0.9769230769230769,0.9343469804875119,0.9921213223421016,0.5364959665918713,0.0632603231589569,-0.004263017146452719,within monitoring tolerance
